Id_Vendas,Id_Cliente,Id_Produto,Quantidade,Data_Venda
649a5b37-ba6f-4f45-880f-f1dc66ef6e73,9ca41a69-b791-4a58-b5e8-7be46f873fe9,ab022466-822a-4766-a638-6140dd7dd6f6,2,2024-11-01
5a4147ef-47f1-43be-be7c-cd44c857f91c,a231a8ce-e96b-4911-8d69-3ef3be002a9b,4ef31ad1-2354-4d0b-9433-105fb9d92650,4,2023-08-22
ff98d3c2-e7fb-4ecc-8b94-3838bd78826b,304aa524-1d61-477f-9dc1-0d39edd547e5,0665a8f9-0052-4e1c-b07e-c2915c4fd6dd,1,2023-12-03
1cccff4d-9d2f-45a6-82b1-b5a7874b6dad,fe76a669-0feb-4a30-9c61-daf3874ede76,750ef613-a915-4122-b6c6-28b328b38f75,4,2023-06-11
7aa4cdef-3e27-4ff4-909f-2b8ae9701383,125d08cb-5ca8-4577-8160-865e1c3850ec,01e0628f-6f63-444c-a52c-38310ef12e9f,4,2024-07-02
8e0cbed2-d140-4497-ae28-6173cc4c45bf,97aea4b0-3669-4a9a-9ec0-3966fb839e3f,69ad0167-e84a-42c4-b8b7-09cf701e9eec,3,2023-04-14
c4317773-acfe-458a-bee8-8112e4a18145,fd72f3a4-ed1a-4c05-82a7-b6c4b5d98612,56a36479-68e2-484b-9797-6e92b8e97a80,4,2024-08-13
5657aeb8-9e79-4474-894d-ef2de0081b7f,3bc81720-9a45-49bb-9378-a6144c8a2ddd,20fef429-15e8-4d6a-80e0-caed57ad1f50,2,2023-11-19
3dfecd7b-c7e4-4ebd-b46b-54cf9ad1025a,90eeb7fd-4449-4015-9ff7-0ca730260775,c885e335-1293-4cbf-a707-602e5918dbf7,5,2023-09-23
88ab486c-9119-46d9-a71d-ca5d40831fec,b091c4c3-031e-46a6-804f-27816199b166,69b7d38c-32d9-4c39-8014-e49caf68e256,3,2023-10-07
b31213d5-0c72-47f4-94fa-9ad685f7f603,7d4e0a25-0403-4537-b464-524aade3a641,f81fbbf3-0c36-42ac-8816-07b6381b18cf,4,2023-10-09
00f3406f-38c7-4f1c-a0bc-51e69a0435e2,ce76ff35-79ab-4732-b19b-032f0a3f7b3c,0665a8f9-0052-4e1c-b07e-c2915c4fd6dd,3,2024-11-26
cc07a1ac-d935-4bef-96a0-135d3abe59a5,c73617e1-5aa8-440e-a769-0d0e62b01cd9,242be1cc-c682-45cb-8204-0bba0eee61db,2,2023-11-16
62488143-b77d-4133-b5cb-707ea7d97587,4a1e866b-4e65-42c8-929a-d2eb10cd13a9,bcdcf7fc-d62c-417c-aa97-49b54e727985,2,2023-11-21
f13487e2-7c31-447e-8049-5365f3e1eba6,0ba6e640-6118-43a5-a117-95e35fc367ce,9d9ae304-dde4-4f89-aaca-0b31212ba2df,5,2023-02-12
6332c3fe-42c6-4807-9ae2-2ad7939dea85,e51f3c90-0f84-4bc2-86a3-070ed4967429,c54863a5-123c-4927-bfd0-60e69fb4ea3a,1,2023-08-04
89d7a5ab-dff9-438c-8551-da57d1784de0,f001cd2a-dcc4-47f6-9dab-1d7dc6a9ea2e,e0bc5925-cc88-4ab3-9899-b9fd4ec7dc25,5,2023-08-12
8eaa2220-16c8-44fe-b5dd-fac446d753fc,f296efd0-ed39-4ff6-b306-e9d6ad534bad,710ced1e-78a2-4f65-bef4-53ae25098a7e,5,2023-07-26
51f975dd-acc2-4f09-a6b8-44da0b347e7b,8f0c2b02-8f4b-4344-89b2-a4390c495a27,7db0c2b1-d429-48fd-98a7-0c09a3b7f8a8,2,2023-03-16
23822c5a-7b53-4646-83f5-a05c1e15d416,cbc7a382-e8a3-4622-9091-06e7d347fdd6,dcab7aaa-65be-4ecc-a2de-e285f21a5c15,3,2023-05-15
7bb138bb-56cf-4a49-95b5-64c6e5f8770a,eddbed12-a99e-4a59-a13b-5deedfbbf0bc,750ef613-a915-4122-b6c6-28b328b38f75,1,2023-07-10
82a0ff71-4697-473b-8ee9-f1036a5457fe,9b5e55df-7efb-4da6-8517-49378e399eba,e3a8855c-eed5-4ced-9bf5-472e2cc60772,5,2023-07-16
ccd43987-7c52-4112-98bb-a5d7aed48fb3,7a10220b-0f27-4ad2-84cf-12439d295919,d5f93505-ab3f-478d-a3f5-f16336772ca8,3,2024-11-17
faa78cc9-6e7b-46ce-bd5b-bcba9436ae6b,7cb62a93-eb4d-4fee-9161-0fa80b80add6,e03ce9a0-23eb-4be6-8c8c-ae9930e090d4,5,2025-01-11
204ff349-7d87-4f1a-87c8-4f5c40e795b7,ce9652d3-f61f-40db-9147-812089c62a8f,33151d1d-3660-4211-bfc2-5f3ae0521bcd,1,2023-12-17
7168bb16-3863-4ce9-90e3-7482d0ff9943,f848a98a-c14f-4cd1-9cbd-57406278601d,406149da-6c96-476e-971a-f90b1ce0c789,1,2023-08-05
259c4e93-7f16-40a3-a91d-ec48d743d602,5a1d6cb7-37c2-49e3-af1e-34e547ac0e28,208c2aef-898f-4b34-b5c9-54d149f31bf2,2,2024-08-22
33d8278c-46c9-4a81-8027-5760f89123ab,7818d17e-d795-46e0-9926-7969a454f6bd,e3a8855c-eed5-4ced-9bf5-472e2cc60772,1,2023-02-21
b9ef043c-30bd-40ba-b9cf-57b0ab6a6703,f18f7b19-9ae2-4099-a112-d1c1f8de34ca,248629ca-adbb-4f2b-99f9-50c1b0f385da,1,2023-03-11
784b5542-c3a0-43e5-9546-b561ee31fafe,3fe182e2-8a99-4537-a8f9-f258941af25a,ffb7447e-468b-44c4-98f8-1e6fe10f4e7e,2,2023-07-04
320232a0-fbba-4b6b-8617-704e616dc0cc,190b8269-8c94-4e48-9a6f-775a5d987978,a1dea1fe-8c77-4faa-9705-80b22604ea1d,5,2024-04-18
11f2b5a0-dcc6-4114-b25f-db0cf626a7c2,8591ba7a-aa35-461e-8ae1-9e3f2a69d2ef,ffb7447e-468b-44c4-98f8-1e6fe10f4e7e,5,2024-09-04
